0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HOLE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PAR,5,4,4,3,4,5,4,4,3,3,4,4,5,4,4,4,3,5
YARDAGE,558,353,389,228,329,498,280,380,197,224,300,438,492,296,431,313,236,554
STROKES,6,4,6,4,5,6,4,5,4,4,5,4,5,5,5,6,5,5
STROKE_1_DISTANCE,222,219,225,185,220,220,229,219,159,166,219,226,226,224,220,223,188,223
STROKE_1_CLUB,DRIVER,DRIVER,DRIVER,3 Wood,DRIVER,DRIVER,DRIVER,DRIVER,4 Iron,5 Wood,DRIVER,DRIVER,DRIVER,DRIVER,DRIVER,DRIVER,3 Wood,DRIVER
STROKE_1_LIE,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX
STROKE_2_DISTANCE,187,118,133,39,72,165,7,138,29,54,8,160,156,53,176,13,12,163
STROKE_2_CLUB,3 Wood,9 Iron,7 Iron,S Wedge,G Wedge,5 Wood,L Wedge,7 Iron,S Wedge,S Wedge,L Wedge,5 Wood,5 Wood,S Wedge,3 Wood,L Wedge,L Wedge,5 Wood
STROKE_2_LIE,ROUGH,FAIRWAY,ROUGH,FAIRWAY,FAIRWAY,GREEN,ROUGH,FAIRWAY,OTHER/HAZARD,GREEN,FAIRWAY,GREEN,FAIRWAY,FAIRWAY,FAIRWAY,FAIRWAY,ROUGH,ROUGH
STROKE_3_DISTANCE,105,13,8,2,30,67,36,6,8,2,60,49,84,15,8,14,29,126
STROKE_3_CLUB,9 Iron,S Wedge,L Wedge,Putter,S Wedge,G Wedge,S Wedge,L Wedge,Putter,Putter,S Wedge,S Wedge,P Wedge,S Wedge,L Wedge,L Wedge,S Wedge,7 Iron
STROKE_3_LIE,ROUGH,GREEN,BUNKER,GREEN,FAIRWAY,BUNKER,BUNKER,FAIRWAY,GREEN,GREEN,ROUGH,FAIRWAY,FAIRWAY,BUNKER,ROUGH,ROUGH,ROUGH,ROUGH
STROKE_4_DISTANCE,40,3,13,2,5,8,8,11,1,2,12,3,22,2,24,53,6,39
STROKE_4_CLUB,S Wedge,Putter,S Wedge,Putter,Putter,L Wedge,Putter,S Wedge,Putter,Putter,Putter,Putter,S Wedge,Putter,S Wedge,S Wedge,Putter,S Wedge
STROKE_4_LIE,ROUGH,GREEN,ROUGH,GREEN,GREEN,FAIRWAY,GREEN,ROUGH,GREEN,GREEN,GREEN,GREEN,OTHER/HAZARD,GREEN,OTHER/HAZARD,BUNKER,GREEN,ROUGH
STROKE_5_DISTANCE,3,0,8,0,2,37,0,6,0,0,1,0,4,2,3,8,1,3
STROKE_5_CLUB,Putter,N/A,Putter,N/A,Putter,S Wedge,N/A,Putter,N/A,N/A,Putter,N/A,Putter,Putter,Putter,Putter,Putter,Putter
STROKE_5_LIE,GREEN,N/A,GREEN,N/A,GREEN,BUNKER,N/A,GREEN,N/A,N/A,GREEN,N/A,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN
STROKE_6_DISTANCE,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
STROKE_6_CLUB,Putter,N/A,Putter,N/A,N/A,Putter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Putter,N/A,N/A
STROKE_6_LIE,GREEN,N/A,GREEN,N/A,N/A,GREEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GREEN,N/A,N/A
STROKE_7_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_7_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_7_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_8_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_8_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_8_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_9_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_9_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_9_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_10_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_10_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_10_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
