0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HOLE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PAR,3,4,5,5,4,3,4,5,4,3,4,4,5,4,4,4,3,4
YARDAGE,232,287,518,466,387,109,364,506,415,206,307,382,539,315,343,354,111,381
STROKES,3,6,6,5,4,4,4,5,5,4,5,4,5,5,5,4,3,5
STROKE_1_DISTANCE,167,226,222,223,226,68,235,227,223,189,222,227,223,228,230,225,94,231
STROKE_1_CLUB,5 Wood,DRIVER,DRIVER,DRIVER,DRIVER,G Wedge,DRIVER,DRIVER,DRIVER,3 Wood,DRIVER,DRIVER,DRIVER,DRIVER,DRIVER,DRIVER,P Wedge,DRIVER
STROKE_1_LIE,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX,TEE BOX
STROKE_2_DISTANCE,60,12,194,167,144,36,123,175,159,7,64,141,163,63,66,114,16,111
STROKE_2_CLUB,S Wedge,L Wedge,3 Wood,5 Wood,7 Iron,S Wedge,9 Iron,5 Wood,4 Iron,S Wedge,S Wedge,7 Iron,5 Wood,S Wedge,G Wedge,9 Iron,L Wedge,9 Iron
STROKE_2_LIE,FAIRWAY,ROUGH,FAIRWAY,ROUGH,FAIRWAY,ROUGH,GREEN,FAIRWAY,FAIRWAY,FAIRWAY,ROUGH,ROUGH,ROUGH,ROUGH,ROUGH,OTHER/HAZARD,FAIRWAY,FAIRWAY
STROKE_3_DISTANCE,5,16,76,62,15,4,5,89,23,8,12,11,146,18,40,14,1,30
STROKE_3_CLUB,Putter,L Wedge,G Wedge,S Wedge,S Wedge,Putter,Putter,P Wedge,S Wedge,Putter,S Wedge,Putter,6 Iron,L Wedge,S Wedge,Putter,Putter,S Wedge
STROKE_3_LIE,GREEN,ROUGH,FAIRWAY,FAIRWAY,ROUGH,GREEN,GREEN,BUNKER,OTHER/HAZARD,GREEN,FAIRWAY,GREEN,OTHER/HAZARD,FAIRWAY,ROUGH,GREEN,GREEN,ROUGH
STROKE_4_DISTANCE,0,19,16,12,2,1,1,12,8,2,7,3,6,5,6,1,0,8
STROKE_4_CLUB,N/A,L Wedge,S Wedge,Putter,Putter,Putter,Putter,Putter,Putter,Putter,Putter,Putter,Putter,Putter,Putter,Putter,N/A,Putter
STROKE_4_LIE,N/A,ROUGH,OTHER/HAZARD,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,N/A,GREEN
STROKE_5_DISTANCE,0,11,8,2,0,0,0,3,2,0,2,0,1,1,1,0,0,1
STROKE_5_CLUB,N/A,Putter,Putter,Putter,N/A,N/A,N/A,Putter,Putter,N/A,Putter,N/A,Putter,Putter,Putter,N/A,N/A,Putter
STROKE_5_LIE,N/A,GREEN,GREEN,GREEN,N/A,N/A,N/A,GREEN,GREEN,N/A,GREEN,N/A,GREEN,GREEN,GREEN,N/A,N/A,GREEN
STROKE_6_DISTANCE,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_6_CLUB,N/A,Putter,Putter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_6_LIE,N/A,GREEN,GREEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_7_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_7_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_7_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_8_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_8_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_8_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_9_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_9_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_9_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_10_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STROKE_10_CLUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STROKE_10_LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
